brand,model,year,price_in_euro,power_ps,transmission_type,fuel_type,mileage_in_km
bmw,BMW 320,2021.0,32990.0,190.0,Automatic,Diesel,43100.0
ford,Ford Fiesta,2008.0,4000.0,60.0,Manual,Petrol,140000.0
volkswagen,Volkswagen Golf GTI,2019.0,24780.0,245.0,Manual,Petrol,51985.0
ford,Ford Fusion,2010.0,5500.0,101.0,Automatic,Petrol,129000.0
hyundai,Hyundai i20,2012.0,2700.0,86.0,Manual,Petrol,169000.0
peugeot,Peugeot 3008,2018.0,26250.0,120.0,Manual,Diesel,58405.0
ssangyong,SsangYong Korando,2018.0,13690.0,150.0,Automatic,Petrol,98602.0
opel,Opel Astra,2018.0,16290.0,110.0,Manual,Diesel,35000.0
alfa-romeo,Alfa Romeo Stelvio,2022.0,52990.0,209.0,Automatic,Diesel,1000.0
maserati,Maserati Ghibli,2017.0,36599.0,349.0,Automatic,Petrol,108000.0
kia,Kia Picanto,2018.0,11995.0,67.0,Manual,Petrol,16300.0
renault,Renault Captur,2013.0,9300.0,90.0,Manual,Diesel,168000.0
opel,Opel Corsa,2020.0,12900.0,75.0,Manual,Petrol,25000.0
saab,Saab 9-3,2006.0,4099.0,150.0,Automatic,Petrol,179500.0
toyota,Toyota Prius,2010.0,10999.0,99.0,Automatic,Hybrid,153473.0
isuzu,Isuzu D-Max,2022.0,45458.0,163.0,Automatic,Diesel,3961.0
bmw,BMW 116,2013.0,10700.0,136.0,Manual,Petrol,114500.0
dacia,Dacia Sandero,2009.0,1300.0,75.0,Manual,Petrol,150000.0
ssangyong,SsangYong Tivoli,2022.0,24800.0,163.0,Automatic,Petrol,4000.0
land-rover,Land Rover Discovery Sport,2017.0,28900.0,179.0,Automatic,Diesel,83000.0
fiat,Fiat Panda,2009.0,1850.0,54.0,Manual,Petrol,171874.0
audi,Audi A6,2009.0,7990.0,239.0,Automatic,Diesel,259797.0
dodge,Dodge Challenger,2018.0,29500.0,309.0,Automatic,Petrol,64000.0
fiat,Fiat Grande Punto,2009.0,3000.0,77.0,Manual,Petrol,148728.0
toyota,Toyota RAV 4,2022.0,44380.0,218.0,Automatic,Hybrid,14603.0
land-rover,Land Rover Defender,2023.0,79844.0,249.0,Automatic,Diesel,1000.0
alfa-romeo,Alfa Romeo Giulietta,2020.0,22900.0,170.0,Automatic,Diesel,74000.0
renault,Renault Captur,2022.0,43290.0,140.0,Automatic,Petrol,2001.0
skoda,Skoda Scala,2020.0,20000.0,116.0,Automatic,Diesel,40000.0
mercedes-benz,Mercedes-Benz A 250,2015.0,21000.0,211.0,Automatic,Petrol,81000.0
bmw,BMW 220,2016.0,20500.0,184.0,Automatic,Petrol,76600.0
skoda,Skoda Karoq,2022.0,34500.0,150.0,Automatic,Petrol,40000.0
hyundai,Hyundai i30,2023.0,39450.0,280.0,Automatic,Petrol,1.0
jaguar,Jaguar E-Pace,2021.0,49901.0,204.0,Automatic,Diesel,24499.0
dacia,Dacia Duster,2020.0,18988.0,150.0,Manual,Petrol,16000.0
dodge,Dodge RAM,2010.0,39999.0,396.0,Automatic,Petrol,117000.0
mitsubishi,Mitsubishi Eclipse Cross,2020.0,22299.0,148.0,Automatic,Diesel,61900.0
opel,Opel,2018.0,16950.0,125.0,Manual,Diesel,160000.0
isuzu,Isuzu D-Max,2022.0,49990.0,163.0,Automatic,Diesel,7500.0
dodge,Dodge Nitro,2008.0,4390.0,260.0,Automatic,Petrol,160000.0
daihatsu,Daihatsu Cuore,2007.0,2350.0,69.0,Manual,Petrol,170000.0
mini,MINI Cooper,2015.0,13490.0,136.0,Manual,Petrol,99650.0
kia,Kia Sportage,2017.0,18990.0,177.0,Manual,Petrol,81370.0
bmw,BMW 120,2008.0,5300.0,177.0,Manual,Diesel,191000.0
chevrolet,Chevrolet Express,2018.0,79900.0,328.0,Automatic,Petrol,46700.0
bmw,BMW 118,2017.0,19900.0,136.0,Automatic,Petrol,39406.0
kia,Kia Sportage,2021.0,23990.0,132.0,Manual,Petrol,30000.0
hyundai,Hyundai KONA,2019.0,17950.0,120.0,Manual,Petrol,28601.0
seat,SEAT Leon,2021.0,21990.0,131.0,Manual,Petrol,34000.0
hyundai,Hyundai i20,2012.0,5600.0,77.0,Manual,Petrol,77000.0
porsche,Porsche Panamera,2011.0,42800.0,500.0,Automatic,Petrol,77087.0
daihatsu,Daihatsu Cuore,2009.0,1490.0,69.0,Manual,Petrol,225800.0
toyota,Toyota Yaris Cross,2022.0,28640.0,116.0,Automatic,Hybrid,6500.0
saab,Saab 9-5,2008.0,4700.0,185.0,Manual,Petrol,220000.0
skoda,Skoda,2016.0,14990.0,110.0,Manual,Petrol,76022.0
mercedes-benz,Mercedes-Benz A 170,2006.0,6790.0,116.0,Automatic,Petrol,83000.0
bmw,BMW 318,2004.0,4450.0,143.0,Manual,Petrol,179730.0
land-rover,Land Rover Range Rover Sport,2017.0,49999.0,306.0,Automatic,Diesel,80000.0
mazda,Mazda CX-5,2017.0,23790.0,175.0,Automatic,Diesel,77595.0
dacia,Dacia Logan,2017.0,9500.0,90.0,Manual,Petrol,85272.0
ssangyong,SsangYong Korando,2022.0,27990.0,163.0,Manual,Petrol,4990.0
peugeot,Peugeot 207,2009.0,3100.0,95.0,Manual,Petrol,175000.0
kia,Kia Ceed / cee'd,2023.0,22988.0,160.0,Manual,Petrol,10.0
fiat,Fiat 124 Spider,2016.0,20990.0,140.0,Manual,Petrol,39118.0
volkswagen,Volkswagen Jetta,2006.0,3000.0,150.0,Manual,Petrol,165000.0
mitsubishi,Mitsubishi Space Star,2023.0,15995.0,71.0,Manual,Petrol,10.0
mercedes-benz,Mercedes-Benz CLA 180,2018.0,18650.0,122.0,Manual,Petrol,93250.0
mini,MINI Cooper,2022.0,25999.0,136.0,Automatic,Petrol,12100.0
alfa-romeo,Alfa Romeo Stelvio,2017.0,26500.0,200.0,Automatic,Petrol,57900.0
ssangyong,SsangYong Korando,2022.0,24190.0,163.0,Manual,Petrol,4000.0
opel,Opel Insignia,2016.0,12450.0,170.0,Automatic,Diesel,135840.0
fiat,Fiat 500,2016.0,9000.0,69.0,Manual,Petrol,57000.0
ssangyong,SsangYong REXTON,2013.0,10985.0,155.0,Automatic,Diesel,107036.0
daewoo,Daewoo Rezzo,2004.0,1890.0,121.0,Manual,Petrol,135468.0
kia,Kia Sportage,2020.0,30000.0,185.0,Automatic,Diesel,20637.0
dacia,Dacia Duster,2019.0,16780.0,150.0,Manual,Petrol,75261.0
skoda,Skoda Octavia,2018.0,19580.0,179.0,Automatic,Petrol,77978.0
skoda,Skoda Octavia,2014.0,15700.0,184.0,Manual,Diesel,134400.0
toyota,Toyota Yaris,2022.0,18680.0,125.0,Manual,Petrol,11750.0
toyota,Toyota RAV 4,2023.0,43550.0,218.0,Automatic,Hybrid,15.0
seat,SEAT Tarraco,2020.0,43888.0,200.0,Automatic,Diesel,24000.0
ford,Ford Focus,2010.0,4950.0,101.0,Manual,Petrol,111645.0
mazda,Mazda CX-5,2016.0,13900.0,175.0,Automatic,Diesel,174467.0
mitsubishi,Mitsubishi Outlander,2019.0,26300.0,135.0,Automatic,Hybrid,89800.0
skoda,Skoda Kodiaq,2022.0,40500.0,200.0,Automatic,Diesel,11000.0
mazda,Mazda MX-5,2018.0,22485.0,160.0,Manual,Petrol,44932.0
lancia,Lancia MUSA,2006.0,1050.0,95.0,Manual,Petrol,139865.0
chevrolet,Chevrolet Camaro,2020.0,42998.0,461.0,Automatic,Petrol,32308.0
opel,Opel Insignia,2012.0,8500.0,194.0,Manual,Diesel,171000.0
mazda,Mazda CX-5,2019.0,25930.0,194.0,Automatic,Petrol,39882.0
ford,Ford Galaxy,2017.0,17499.0,150.0,Automatic,Diesel,175000.0
skoda,Skoda Octavia,2019.0,22470.0,150.0,Manual,Diesel,41111.0
dodge,Dodge Challenger,2018.0,57800.0,492.0,Automatic,Petrol,31455.0
mazda,Mazda 2,2019.0,13490.0,75.0,Manual,Petrol,51200.0
honda,Honda Civic,2016.0,16950.0,141.0,Automatic,Petrol,77000.0
honda,Honda Jazz,2018.0,15990.0,102.0,Manual,Petrol,60245.0
maserati,Maserati Levante,2017.0,46890.0,430.0,Automatic,Petrol,97496.0
kia,Kia Ceed SW / cee'd SW,2018.0,14980.0,120.0,Manual,Petrol,44530.0
nissan,Nissan Qashqai,2011.0,6499.0,141.0,Manual,Petrol,200000.0
ford,Ford Focus,2014.0,9990.0,125.0,Manual,Petrol,69000.0
nissan,Nissan Qashqai,2015.0,14190.0,116.0,Manual,Petrol,87568.0
jaguar,Jaguar XE,2020.0,37950.0,300.0,Automatic,Petrol,28000.0
fiat,Fiat 500,2016.0,10980.0,69.0,Manual,Petrol,19800.0
kia,Kia Sorento,2017.0,33970.0,200.0,Automatic,Diesel,84000.0
volkswagen,Volkswagen Beetle,2017.0,21999.0,105.0,Automatic,Petrol,58042.0
peugeot,Peugeot 3008,2010.0,5490.0,150.0,Manual,Diesel,164500.0
ssangyong,SsangYong Korando,2017.0,15990.0,150.0,Automatic,Petrol,62000.0
citroen,Citroen Grand C4 Picasso,2017.0,15990.0,131.0,Manual,Petrol,91200.0
renault,Renault Captur,2020.0,21990.0,131.0,Automatic,Petrol,21300.0
ssangyong,SsangYong MUSSO,2023.0,32990.0,203.0,Automatic,Diesel,188.0
toyota,Toyota Aygo,2018.0,9290.0,72.0,Manual,Petrol,87000.0
toyota,Toyota Aygo,2022.0,17740.0,72.0,Manual,Petrol,5.0
alfa-romeo,Alfa Romeo 159,2007.0,3650.0,150.0,Automatic,Diesel,260000.0
alfa-romeo,Alfa Romeo GT,2005.0,1500.0,150.0,Manual,Diesel,280000.0
alfa-romeo,Alfa Romeo Stelvio,2020.0,37190.0,200.0,Automatic,Petrol,42850.0
saab,Saab 9-3,2008.0,7590.0,122.0,Manual,Petrol,105000.0
cadillac,Cadillac Escalade,2019.0,67950.0,426.0,Automatic,Petrol,61305.0
hyundai,Hyundai i10,2009.0,3990.0,67.0,Manual,Petrol,135478.0
toyota,Toyota Avensis,2017.0,12800.0,150.0,Manual,Diesel,142128.0
hyundai,Hyundai i30,2020.0,23787.0,140.0,Automatic,Petrol,55113.0
ssangyong,SsangYong Actyon,2017.0,15990.0,155.0,Manual,Diesel,55577.0
volkswagen,Volkswagen Golf Variant,2019.0,24690.0,184.0,Automatic,Diesel,59472.0
mitsubishi,Mitsubishi ASX,2023.0,31990.0,158.0,Automatic,Petrol,3000.0
porsche,Porsche Macan,2019.0,65890.0,354.0,Automatic,Petrol,61000.0
volkswagen,Volkswagen Golf Plus,2012.0,9700.0,105.0,Manual,Diesel,171500.0
bmw,BMW 230,2023.0,50790.0,326.0,Automatic,Hybrid,100.0
smart,smart forTwo,2016.0,12180.0,71.0,Manual,Petrol,4400.0
mercedes-benz,Mercedes-Benz C 200,2014.0,22990.0,184.0,Automatic,Petrol,62000.0
audi,Audi A6,2015.0,22500.0,272.0,Automatic,Diesel,182000.0
volkswagen,Volkswagen Caddy,2022.0,49990.0,114.0,Automatic,Petrol,10103.0
peugeot,Peugeot 207,2008.0,4500.0,120.0,Manual,Petrol,147600.0
fiat,Fiat 500C,2023.0,19980.0,71.0,Manual,Petrol,1.0
opel,Opel Meriva,2007.0,4999.0,105.0,Manual,Petrol,95604.0
bentley,Bentley Flying Spur,2006.0,33500.0,559.0,Automatic,Petrol,168000.0
smart,smart forTwo,2013.0,10990.0,71.0,Automatic,Petrol,51580.0
daihatsu,Daihatsu Cuore,2011.0,6990.0,69.0,Automatic,Petrol,53000.0
